Name,UserID,Date,Ratings,Comments
dglindsey23,11359417633,2024-06-08T17:10:33-07:00,3,"I will start off by saying this is the best journaling - even pure writing - app that I have found. I write on my iPad quite a bit and love to use slide-over and split-screen views to jot down thoughts in my journal while I am reading my Kindle book in the background. Hard to believe that Day One still craps out once you hit one full page of content within the app. Once you finish writing a full-page in slide-over or split-screen view, you can no longer see what you are writing because the app stops scrolling with your writing. You are writing “blind” so to speak. It is really hard to believe that this problem still persists after all these years and has frustrated me on more than one occasion. Simple problem - please fix this for the love of all that is good and holy."
latingurrl,11359138836,2024-06-08T15:07:06-07:00,3,"For information on the entries, it keeps saying this: This will capture track information for any music currently playing in the Music App on your device. Try playing some music and tapping this again

I wish there was a way that I could have my Spotify playlist linked up to Day One so that it would sync with what I was listening to at the time while writing my entry. So I thought this option would work however it doesn’t work. I updated the app. I looked at all my settings on my iPhone and it does not work. I don’t know if this is a feature that is not working? I have the premium subscription too so I don’t know why it’s not working. It’s become incredibly annoying.. to try to figure it out."
KFly1,11358603904,2024-06-08T11:37:48-07:00,1,"Dear Day One, I have been a loyal customer for 10+ years now and this is my favorite app that I have. My entire life has been recorded here and that’s really special… but this new main page layout is AWFUL. You removed all color and it’s just boring and ugly. Please please please bring back the old main page!!!"
MMEEEEEEEEEEEEE,11355305016,2024-06-07T15:08:11-07:00,1,"Unable to open my app; froze in middle of last update; went to delete & reinstall; but, seems stuck in an OPEN mode; and, when tried, nothing happens"
liiz7,11355104509,2024-06-07T13:46:16-07:00,5,I don’t like how they took away the underline I was using it a lot but maybe I’m missing it or people don’t use it bummer :/
PandaEyes87,11352473899,2024-06-06T22:10:03-07:00,4,"I know some users aren’t happy about DayOne’s new user update and how the UI looks very different now. It’s understandable that not everyone may like it. Personally, I liked the older UI much better, but am willing to give this new layout a fair try. 

Things might be a bit buggy and wonky while we all try to adapt to this new layout, but I’m sure those other things will be taken care of in time.

 I’ve been searching around for another journal app to use and nothing still comes close to DayOne. In my opinion, this is still the best journaling app out there and as long as they don’t continue to change things that make the app less user friendly and away from the original intentions of the app, I’m still willing to stick with them. 

Even when they do big updates like these that kind of has everyone mad about the change. As long as I try to get used to the change, then I think I will feel better about it later on."
venusamaris,11352062949,2024-06-06T19:04:40-07:00,3,"Updated to add: I do not love this new version. I have been using this app for years now. I always like the touches of color on the screen. Now they have stripped away nearly all the color. Why? It is so sterile and boring, and I honestly do not see the reason for the change. Were people complaining that it was too colorful. I kind of doubt that. Change for the sake of change is always a bad idea. Nothing about this latest update has improved my experience in using it. Learn to leave a good thing alone instead of messing it up in pursuit of a “fresh new look”.

Updated to add: I love the new location function in the latest update, it was just what I was hoping for. The developers are obviously trying hard to be responsive to users. They did not ""abandon iCloud"" here or charge money for an update. This is a NEW VERSION of Day One, and if you want to use it you will have to pay all of $5 - $10 (!), and learn to live with their excellent sync service. If you love the classic Day One, keep using it. It is not going away, or being abandoned. If you want iCloud sync, stick with the Classic version, do not expect this version to meet that need. The developers have done everything possible to communicate the fact that iCloud and Dropbox would not be available in v2, and why. It makes sense to me, and if I really want to keep using iCloud sync I can stick with Day One Classic. I recommend going to the developer website and reading their blog post from a week or so ago, which outlines why the changes and what they see as the benefit of using Day One Sync instead of iCloud. I have used Day One for a few years now, and I have always loved it. Journaling is very important in my life, I have done it since I was a kid and I have boxes of paper journals archived away. The original Day One was my go-to journal from the first day I downloaded it. I was a bit worried about the impending upgrade, I tip my hat to the developers of Day One for doing it right."
Clemfam,11351676167,2024-06-06T16:20:39-07:00,3,Date lookup feature seems to have disappeared. Why all the updates—so much to continually get used to?
Stdartbos,11349951178,2024-06-06T06:25:13-07:00,1,"I have loved this app for 7 years. Makes it so easy to stay on top of journaling. But I have a complaint for the first time ever here. I hate the latest update. Bring back the top bar that shows my streak, entries on this day, etc. Why take that away? It ruins the main interface. I hate it."
K'lyn Paris,11349426160,2024-06-06T03:31:58-07:00,1,"I miss being able to see the different colors for the different journals. Now all the journals are white and almost indistinguishable from each other. Having one icon at the bottom showing a color to indicate a particular journal is awful.

Put the control buttons back at the bottom where they were. They were easier to access and made more sense.

This latest update seems to be “change for change’s sake,” rather than needed functionality improvements."
scott bolsins,11349414179,2024-06-06T03:27:20-07:00,1,"The new layout is absurd, but i can live with that.
Ive used this since 2015 and today i have a sync error and need to enter my ‘encryption key’ WHAT????
So i looked through help and roughly speaking… sorry if you don’t have it tgere is ‘nothing Day One can do’ okay day one, im sire you’ll say its my fault for not ‘writing down ‘ some dumb A key from 8 years ago. 
It is my fault for trusting you. 
The worst paid app experience i ever had. Thanks for wasting entries ive had for 8 years.

I have no idea whats going on at Day Ine with the UI changes, but trust me on this.
Use “the free IOS journal."
ayumi88888,11349095402,2024-06-06T01:10:16-07:00,2,"????????????
?????????? ????????

??????????????????
??????????

??????
?????“??.??.??.??”??????

??????????"
User4813,11348614753,2024-06-05T21:27:33-07:00,1,"Well I’m only 10 mins into writing in this app and already found a major issue. I’m typing some pretty emotional stuff and for whatever reason, I guess a slight movement of my phone, the app tries to go in landscape mode and just shows a completely jacked up display (unusable or distinguishable screen the app is displaying since it glitched out trying to switch the orientation). Nothing makes it go back to normal so I close the app completely and open it back up. And just like that the last few minutes of writing are gone. That might not seem like a big deal but when you’re just pouring into something, it’s coming from the heart, you’re not thinking about remembering what you just typed. Why would you even make the app to do that? How is that even possible? Does your app just “save” every couple minutes? Even something as simple as the Notes app that comes with the phone has never done that - once you type it it’s there regardless of when or how quick you close the app. So right there I just didn’t like the experience and am going to look for another app. Completely throws off the experience and now you can’t even trust the app to do the most basic of things - save what you wrote."
Come back!!!!,11347577390,2024-06-05T14:12:35-07:00,3,"I understand they were trying to do something different but i feel like this poses more problems than benefits for me. moving the hot points of the app, the navigation to the top eliminates one handed use"
